x, f(x)
-3.0 , -0.00012217478005274374
-2.993993993993994 , -0.00012654247951827025
-2.987987987987988 , -0.00013105203521062607
-2.981981981981982 , -0.0001357074926141195
-2.975975975975976 , -0.00014051299121892695
-2.96996996996997 , -0.0001454727659013436
-2.963963963963964 , -0.00015059114829192813
-2.957957957957958 , -0.0001558725681297652
-2.951951951951952 , -0.00016132155460099232
-2.945945945945946 , -0.0001669427376596779
-2.93993993993994 , -0.00017274084932904424
-2.933933933933934 , -0.00017872072498097607
-2.9279279279279278 , -0.00018488730459165808
-2.921921921921922 , -0.00019124563397111436
-2.915915915915916 , -0.00019780086596434497
-2.90990990990991 , -0.00020455826162166338
-2.903903903903904 , -0.0002115231913357666
-2.8978978978978978 , -0.0002187011359429765
-2.891891891891892 , -0.00022609768778600214
-2.885885885885886 , -0.00023371855173550028
-2.87987987987988 , -0.00024156954616759633
-2.873873873873874 , -0.00024965660389446466
-2.8678678678678677 , -0.0002579857730449539
-2.861861861861862 , -0.0002665632178921595
-2.855855855855856 , -0.0002753952196247517
-2.84984984984985 , -0.0002844881770587584
-2.843843843843844 , -0.0002938486072864225
-2.8378378378378377 , -0.00030348314625864545
-2.831831831831832 , -0.00031339854929742146
-2.825825825825826 , -0.0003236016915345846
-2.81981981981982 , -0.00033409956827306107
-2.813813813813814 , -0.0003448992952667522
-2.8078078078078077 , -0.00035600810891503145
-2.8018018018018016 , -0.0003674333663677595
-2.795795795795796 , -0.0003791825455366044
-2.78978978978979 , -0.0003912632450083521
-2.7837837837837838 , -0.0004036831838557691
-2.7777777777777777 , -0.00041645020134150284
-2.7717717717717716 , -0.0004295722565103577
-2.765765765765766 , -0.00044305742766520204
-2.75975975975976 , -0.0004569139117216453
-2.7537537537537538 , -0.0004711500234364965
-2.7477477477477477 , -0.0004857741945049362
-2.7417417417417416 , -0.0005007949725211949
-2.735735735735736 , -0.000516221019797428
-2.72972972972973 , -0.0005320611120353775
-2.7237237237237237 , -0.0005483241368452747
-2.7177177177177176 , -0.000565019092106354
-2.7117117117117115 , -0.0005821550841632206
-2.705705705705706 , -0.0005997413258522036
-2.6996996996997 , -0.0006177871343517283
-2.6936936936936937 , -0.0006363019288506096
-2.6876876876876876 , -0.0006552952280280933
-2.6816816816816815 , -0.0006747766473393282
-2.6756756756756754 , -0.0006947558960998701
-2.66966966966967 , -0.0007152427743626971
-2.6636636636636637 , -0.0007362471695811314
-2.6576576576576576 , -0.0007577790530509201
-2.6516516516516515 , -0.0007798484761246848
-2.6456456456456454 , -0.0008024655661917885
-2.6396396396396398 , -0.0008256405224166159
-2.6336336336336337 , -0.0008493836112281439
-2.6276276276276276 , -0.0008737051615535791
-2.6216216216216215 , -0.0008986155597887843
-2.6156156156156154 , -0.0009241252444980778
-2.6096096096096097 , -0.0009502447008359349
-2.6036036036036037 , -0.0009769844546830416
-2.5975975975975976 , -0.0010043550664890226
-2.5915915915915915 , -0.001032367124814167
-2.5855855855855854 , -0.0010610312395623288
-2.5795795795795797 , -0.0010903580348971323
-2.5735735735735736 , -0.001120358141833592
-2.5675675675675675 , -0.001151042190497083
-2.5615615615615615 , -0.0011824208020416846
-2.5555555555555554 , -0.0012145045802197418
-2.5495495495495497 , -0.0012473041025945013
-2.5435435435435436 , -0.00128082991138764
-2.5375375375375375 , -0.0013150925039534052
-2.5315315315315314 , -0.0013501023228711404
-2.5255255255255253 , -0.0013858697456478643
-2.5195195195195197 , -0.0014224050740225872
